"rings"	"length"	"diameter"	"height"	"whole"	"shucked"	"viscera"	"shell"	"infant"
"37"	9	75	58	0.1	55.2	23.5	11.3	17	0
"38"	6	84	64	0.11	61.8	23	12.9	18.9	1
"39"	9	130	99	0.16	262.1	115.4	66.3	71	0
"40"	9	125	94	0.15	224.8	111.2	46.3	57.4	0
"41"	10	119	93	0.145	159.1	68.5	35.9	48.5	0
"42"	11	124	97	0.175	254.2	106.2	61.5	74	0
"43"	8	87	60	0.12	119.3	51.8	27.8	32.9	1
"44"	6	64	48	0.085	26.2	12.3	5.3	7.6	1
"45"	10	92	66	0.15	106.5	41.7	36.1	25	0
"46"	11	130	105	0.19	273.7	119.5	59.2	80	0
"47"	10	117	93	0.145	197.1	86.5	42.9	56.9	0
"48"	11	105	80	0.115	125.9	51.1	28.8	36	0
"49"	7	95	73	0.115	113.2	56.2	23.4	26.7	0
"50"	8	129	101	0.165	286.5	136.8	61.6	67.2	0
"51"	6	38	26	0.03	5.9	3.1	3	2	1
"52"	19	109	87	0.165	199.1	64.9	53.3	65	0
"53"	5	59	44	0.085	25.7	11.7	5.4	7.3	1
"54"	10	134	102	0.175	305.3	130.2	89.5	69	0
"55"	5	80	58	0.1	53.5	24.1	12.1	15.3	1
"56"	5	59	46	0.08	32.5	13	10	7.7	1
"57"	6	55	39	0.09	22.5	10.9	5.9	7.1	1
"58"	9	131	104	0.165	281.9	117.2	58.2	81	0
"59"	7	85	65	0.1	65.9	27.3	14.5	22	0
"60"	13	123	96	0.18	231.9	96.9	43.3	65	0
"61"	9	110	86	0.14	162.1	73.6	32.2	55	0
"62"	18	123	96	0.19	272	106.1	47.5	94	0
"63"	6	93	69	0.105	80.3	48.4	6.9	21.8	1
"64"	19	138	111	0.205	363.3	155.7	87.9	103	0
"65"	11	117	91	0.17	198.9	85.1	52.6	56.9	0
"66"	8	105	79	0.13	152.7	67.5	28.5	45	0
"67"	10	151	116	0.205	401.3	165.9	80.3	119	0
"68"	5	72	54	0.09	37.7	16.9	7.7	11	0
"69"	11	113	91	0.155	187.1	84.2	36.6	52	0
"70"	11	131	118	0.2	309.1	130.8	75.3	83	0
"71"	10	110	81	0.14	160.5	48.8	32.7	51	0
"72"	7	87	67	0.11	82.2	40.5	18.9	20	1
"73"	6	67	44	0.07	34	15.2	7.3	10	0
"74"	11	117	102	0.16	243.6	127.8	48.2	60	0
"75"	14	110	85	0.15	161.2	75.2	34.2	49	1
"76"	7	102	75	0.1	115.7	47.6	24.5	35	1
"77"	9	115	91	0.135	181.4	84.9	39.4	52	0
"78"	9	97	73	0.12	117.7	54	26.2	35	0
"79"	9	129	104	0.18	257	115.5	70.4	63.4	0
"80"	9	114	88	0.175	188.3	76.1	45.7	56.6	0
"81"	10	127	103	0.19	274.3	101.3	61	90	0
"82"	5	54	39	0.06	14.6	5.7	4.7	6	1
"83"	10	94	71	0.1	95.1	33.5	16.1	37	0
"84"	5	55	41	0.07	18.8	6.7	4	6.5	0
"85"	6	83	63	0.09	72.5	35	16.7	18.6	1
"86"	10	128	105	0.18	262.7	97.3	59.9	81.5	0
"87"	11	100	84	0.125	124	51	30	41	0
"88"	9	106	81	0.13	147.6	56.9	34	38.6	0
"89"	11	138	110	0.195	355.4	153.8	76	86.1	0
"90"	18	121	98	0.18	245.4	96	57.4	70	0
"91"	9	95	72	0.125	89.4	33.9	16.2	28	0
"92"	12	88	70	0.135	87	36.3	16.6	25	1
"93"	10	144	110	0.18	304	127.4	65	87	0
"94"	15	104	81	0.145	165.8	70.7	33.7	41	0
"95"	8	102	81	0.125	135.9	69.3	27.9	36.4	1
"96"	11	120	93	0.165	209.5	93	46.9	63	0
"97"	23	124	94	0.2	245.1	76.2	54	87	0
"98"	8	126	94	0.155	226.5	117.8	42.2	57.4	0
"99"	10	104	77	0.165	158.2	75	36	36.3	0
"100"	6	67	50	0.08	33.4	13.5	6.5	11.5	1
"101"	8	100	76	0.14	127.1	55.4	28.6	35.7	0
"102"	10	121	94	0.18	223.1	95.8	51.3	64.2	0
"103"	9	126	97	0.17	264.1	118.9	69	69	0
"104"	12	106	80	0.165	154.4	57.1	39.5	46	0
"105"	14	112	84	0.195	161.7	60.5	35.9	57	0
"106"	14	140	115	0.17	262	101.9	62.8	84	0
"107"	8	65	40	0.08	19.9	7.9	4.5	6.4	1
"108"	13	111	85	0.13	153.3	52.8	33.6	55	0
"109"	13	90	70	0.145	108.5	35.3	24.6	35	0
"110"	9	87	71	0.125	81.5	30.7	14.8	33	1
"111"	6	60	46	0.085	23.4	10	3.5	8.3	1
"112"	21	98	78	0.15	114.6	45	24.8	34	0
"113"	10	122	92	0.16	200	98.8	39.4	55	0
"114"	9	101	85	0.125	122.3	49	27.5	40	1
"115"	10	125	98	0.155	266	133.5	51.8	66	0
"116"	7	96	73	0.12	120.3	62.4	23.4	28	0
"117"	9	134	104	0.19	327.7	162.3	73.8	78.2	0
"118"	9	89	72	0.11	84.7	36.4	15.3	28	1
"119"	10	105	80	0.14	139.1	48.1	32	50.6	1
"120"	8	58	41	0.07	19.5	7.2	3.8	7	1
"121"	14	94	71	0.13	109.3	40.1	25.2	37	0
"122"	13	144	116	0.19	417.7	199.1	95.6	106.1	0
"123"	16	109	90	0.16	172.3	58.5	30.9	73	0
"124"	9	69	51	0.1	39.4	14.2	10.2	12	0
"125"	5	60	46	0.075	30	12.1	8.4	9	1
"126"	12	147	113	0.205	425.5	189.8	92	113	0
"127"	7	60	44	0.09	28.5	11.4	6.7	8.6	1
"128"	7	72	55	0.075	44.1	19.7	8.8	13.2	1
"129"	10	75	56	0.095	44.5	17.5	8.6	16	0
"130"	12	134	110	0.19	278.1	108.5	60.7	80	0
"131"	8	112	83	0.13	152.3	73.9	34	39.1	0
"132"	9	110	86	0.15	174.9	82.6	38.1	49.6	0
"133"	7	97	77	0.105	111.2	59.2	20.8	26.6	0
"134"	12	125	96	0.155	240.7	117.3	47.8	63.7	0
"135"	11	116	93	0.165	220.3	80.8	41.9	70	0
"136"	8	74	56	0.1	50.4	21.3	11.9	14.8	0
"137"	11	94	69	0.115	97.7	40.1	21.6	33.2	1
"138"	9	124	96	0.175	208.1	92.8	44.5	60	0
"139"	10	115	90	0.13	162.9	80.6	34.3	42.6	1
"140"	9	94	74	0.18	102	38.3	25.7	32.5	0
"141"	7	87	67	0.095	59.6	21.8	11.6	23	1
"142"	8	89	71	0.095	72.3	28.3	15.7	24	1
"143"	18	105	82	0.175	174.8	71.7	41.4	41	1
"144"	8	94	73	0.12	116.4	58	18.4	29.2	0
"145"	11	133	108	0.195	352.8	170.1	72.3	94	0
"146"	6	74	58	0.095	49.8	20.9	11.6	13.4	1
"147"	14	112	88	0.14	194.2	88.6	40.9	53	0
"148"	10	115	94	0.185	197	74.9	43.5	71	0
"149"	5	48	35	0.045	14	6.3	4.7	4	1
"150"	14	98	84	0.125	121.8	47.8	28.7	44	0
"151"	17	100	76	0.155	131	48.1	28.6	41	0
"152"	16	114	87	0.14	161.7	64.7	36.6	44	0
"153"	11	100	82	0.15	132.4	56.3	27.4	44	0
"154"	17	113	94	0.195	228.4	77.4	51.6	70	0
"155"	13	115	95	0.17	193.4	75.5	56.8	55	1
"156"	12	141	111	0.195	350.5	142.1	84.3	103.2	0
"157"	12	128	100	0.17	224	99.1	52.9	64	0
"158"	10	127	99	0.175	247.1	104.1	61.7	69.4	0
"159"	11	112	88	0.155	162.2	73.7	35.6	47	1
"160"	6	64	45	0.085	28.3	13.5	5.9	8.1	1
"161"	11	100	80	0.145	120.5	43.2	27.6	42	0
"162"	12	82	65	0.12	74.9	31.6	16.2	25	0
"163"	5	44	33	0.055	10.9	4.3	2.4	4	1
"164"	10	100	79	0.14	143.1	63.3	35.2	48	0
"165"	11	140	112	0.175	332.1	172.1	65.5	79.6	0
"166"	10	126	97	0.16	248.6	124.6	55	60	0
"167"	10	115	92	0.155	178.4	88.3	35.2	44	0
"168"	11	132	105	0.2	292.6	130.5	59.9	84.4	0
"169"	11	113	88	0.115	183.7	80.8	35.7	58	0
"170"	10	127	96	0.145	236.2	133	45.8	45	0
"171"	7	81	60	0.085	60.7	30	10.1	17.6	1
"172"	9	106	84	0.135	135.4	51.3	28.3	42	0
"173"	12	133	104	0.175	274.5	121.2	64	79	0
"174"	7	74	56	0.095	44.5	16.1	10.2	15	0
"175"	11	94	70	0.13	93.2	36.9	19.8	29	1
"176"	9	104	77	0.14	131.9	49.7	40.7	32	0
"177"	9	90	68	0.13	74.3	32.1	15.9	21	0
"178"	11	105	80	0.17	146.1	55.8	41.1	39	0
"179"	8	102	83	0.145	150.2	65.9	36.7	40.6	0
"180"	4	35	25	0.04	4.8	1.9	1.2	1	0
"181"	9	91	74	0.125	86.6	40.2	25.3	29	1
"182"	9	104	79	0.125	132.6	60.1	26.2	38.1	1
"183"	11	127	99	0.18	319.2	123.4	63.4	74	0
"184"	6	84	63	0.1	68.7	31.4	15.9	18	1
"185"	10	129	103	0.15	242.4	103	41.1	77	0
"186"	15	104	80	0.12	164.6	59.6	36.1	53	0
"187"	14	89	70	0.14	118.1	40.5	31.6	38	0
"188"	12	79	56	0.08	53.2	19.9	13.2	18	0
"189"	7	99	76	0.13	102.5	43.7	23.2	32	1
"190"	12	119	90	0.165	216.2	98	50.5	55.8	0
"191"	10	132	105	0.2	297.8	121.3	75.9	84.2	0
"192"	13	116	91	0.17	181.5	74.8	42.7	57	0
"193"	16	127	100	0.18	263.8	109.7	58.4	98	1
"194"	10	107	86	0.155	156.9	65.7	33.8	49	0
"195"	7	70	53	0.09	37.1	14.9	8.3	12	0
"196"	11	89	69	0.13	81.5	27.3	12.9	36	1
"197"	13	136	108	0.21	357.7	166.9	81.6	87.4	0
"198"	10	110	88	0.135	175.8	73.6	41.9	53	0
"199"	5	60	44	0.065	24.7	11.8	5.2	6.3	1
"200"	12	146	115	0.185	375.9	186.2	76	96.5	0
"201"	17	128	104	0.2	281.4	113.2	60.8	91	0
"202"	12	129	100	0.175	302.1	134.7	75.1	75.5	0
"203"	12	81	65	0.11	71.5	29	14.5	22	0
"204"	6	119	95	0.16	228.1	109.4	46.2	54.2	0
"205"	10	114	89	0.155	203.4	105.3	40.5	53	0
"206"	8	94	75	0.12	116.1	53.2	18.7	33.8	0
"207"	4	45	32	0.045	9.3	5	3	3	1
"208"	10	122	95	0.17	205.3	87	46.7	60.7	0
"209"	9	92	72	0.14	89.4	32.2	17.4	32	1
"210"	7	54	39	0.07	21.2	9.3	3.6	7.2	0
"211"	7	95	71	0.115	103.9	55.8	17.6	26.5	1
"212"	13	88	68	0.125	97.9	34.7	17.5	40	1
"213"	19	140	107	0.16	345.1	126	52.7	108	0
"214"	11	127	99	0.15	216.2	96.5	48.4	62	0
"215"	16	115	90	0.16	191	88	33.7	54	0
"216"	12	144	113	0.17	322.6	144.6	65.1	98.9	0
"217"	12	138	110	0.2	313.8	137.4	73.5	92	0
"218"	10	76	58	0.105	51.4	19.8	10.2	17	0
"219"	12	115	90	0.16	195.5	62.7	46.2	66	0
"220"	10	129	104	0.175	266.9	133.4	53.3	71	0
"221"	10	102	80	0.14	138.1	51.8	30.2	46	0
"222"	9	73	59	0.095	50	21.5	10.9	16	1
"223"	4	46	33	0.06	10.3	3.8	2.9	7.2	1
"224"	9	114	86	0.16	162.2	77.5	31.8	45.7	0
"225"	8	130	100	0.14	247.6	123.3	47.1	64	0
"226"	17	131	116	0.205	416.1	191.8	68.3	120.2	0
"227"	11	127	97	0.165	253.9	112.7	61.3	67.9	0
"228"	10	110	90	0.145	148.2	59	28.7	53.3	0
"229"	14	95	77	0.145	123.5	47	21.6	43	0
"230"	10	114	86	0.145	166.6	70.8	28.8	56.3	1
"231"	6	75	55	0.1	46.5	23.3	8.4	13	1
"232"	9	96	74	0.125	94.8	35.8	20.7	35	1
"233"	15	134	109	0.16	308.3	119.7	51.3	99	0
"234"	9	115	90	0.13	157	63.6	38.6	45.3	0
"235"	6	76	57	0.085	47.4	23	8.1	14	1
"236"	9	119	94	0.155	235.5	108.4	53.8	62	0
"237"	8	106	86	0.14	135.4	59.6	19.3	46	1
"238"	9	95	74	0.125	101.9	43.3	22.5	33	0
"239"	7	86	65	0.09	85	43.4	17.4	19	1
"240"	6	74	54	0.095	43.5	19.4	9.2	13	1
"241"	10	122	95	0.15	193.3	82.9	40	69	1
"242"	6	82	62	0.09	66.7	32.7	12.2	18.2	1
"243"	10	124	102	0.18	246.6	118.4	54.8	64.4	0
"244"	16	127	96	0.235	212.8	82.6	45.6	72	0
"245"	7	77	58	0.08	49.7	24.4	9.9	13	1
"246"	8	98	71	0.16	175.9	69.7	43	56.5	0
"247"	10	136	104	0.185	308.2	119.7	79	91.5	0
"248"	8	104	85	0.125	158	74.4	41	38	0
"249"	10	89	71	0.11	88.3	36.1	20.7	30.1	0
"250"	10	126	100	0.175	252.9	112.7	61.3	68.5	0
"251"	9	112	85	0.135	188.3	101.8	40.3	39.5	0
"252"	12	131	103	0.2	298.8	145.1	61.8	81	0
"253"	12	106	87	0.135	147.3	65.5	26.3	44	0
"254"	5	38	26	0.045	5.3	1.8	1	1.8	1
"255"	10	117	92	0.165	222.7	116.5	46.9	54.8	0
"256"	11	130	105	0.19	322.5	155.4	73.7	79.3	0
"257"	12	116	88	0.18	170.8	73.3	32.7	49	0
"258"	10	128	103	0.165	273.8	126.4	68.3	71.6	0
"259"	11	109	88	0.14	167.9	71.2	38.1	47.7	0
"260"	9	125	99	0.155	205	92	38.9	68	0
"261"	12	138	105	0.19	298.4	128.5	78.1	84	0
"262"	7	105	76	0.125	130	60.6	31	31.8	0
"263"	12	149	115	0.2	376.8	190.8	67.2	99	0
"264"	9	109	86	0.16	168.8	78.9	37.1	46.2	0
"265"	10	132	107	0.205	288.3	118.5	55.5	98	0
"266"	7	75	59	0.11	60.1	25.1	11.5	20.7	0
"267"	11	133	104	0.165	337.7	145.9	81.4	85.3	0
"268"	11	80	62	0.11	62.8	27.6	11.4	20	0
"269"	8	97	73	0.155	205.8	84.7	45.7	62.6	0
"270"	13	152	121	0.215	434.6	160.2	98.3	129.2	0
"271"	9	106	81	0.13	132.3	58.9	27.9	38	1
"272"	12	99	76	0.135	125.9	52.6	28.5	43	0
"273"	16	107	85	0.155	155.3	60.4	31.3	50	0
"274"	7	89	69	0.105	81.8	33.5	20.3	23.4	1
"275"	8	102	81	0.13	119.8	61.3	23.1	29.7	1
"276"	8	93	71	0.105	95.9	45.4	24.8	25	0
"277"	13	124	103	0.175	244.2	107	48.2	79	0
"278"	6	76	54	0.095	43.8	16.7	10.3	14	0
"279"	16	137	105	0.175	342	108.3	61.8	116	0
"280"	13	98	80	0.145	132.7	42	25.9	50.3	0
"281"	9	103	80	0.115	115.6	38.2	28.9	34	0
"282"	11	150	114	0.21	447.2	221.8	103.9	109	0
"283"	7	88	65	0.115	78	32.6	17.4	22.6	0
"284"	10	107	84	0.145	158.2	66	37.8	50	0
"285"	10	107	88	0.165	175	55.8	36	60	0
"286"	10	131	110	0.18	254.8	117.2	56.2	73	0
"287"	7	41	31	0.045	8.5	3.4	1.1	3.1	0
"288"	11	125	103	0.155	232.7	97.5	51.8	71	0
"289"	9	94	78	0.15	127.1	43.7	17.7	51	0
"290"	11	123	105	0.155	207.7	85.4	46.3	69	0
"291"	10	122	98	0.16	222.4	93	45.6	68.2	0
"292"	9	106	80	0.145	111	38.7	26.1	39	1
"293"	10	123	97	0.16	231.5	100.1	49.9	63	0
"294"	9	129	102	0.19	294.9	121	69	96	0
"295"	11	119	91	0.145	188.4	86	36.4	55.4	0
"296"	8	74	56	0.105	44.8	16.3	11.5	15	0
"297"	8	116	90	0.155	165.5	64.2	39.5	48.9	0
"298"	12	121	99	0.145	210.8	73.8	45.1	72	1
"299"	10	129	102	0.155	225.8	100.3	48	68.4	0
"300"	6	61	45	0.09	29.3	12.6	6.8	8.3	1
"301"	10	114	88	0.13	153.3	69.4	35.7	40.4	1
"302"	9	119	92	0.16	184.2	80.1	40.5	57.5	0
"303"	8	103	85	0.145	187.3	99.4	36.2	43.7	0
"304"	10	116	92	0.15	209.8	104.1	38.7	61	0
"305"	19	121	97	0.165	202.1	87	41.8	60	0
"306"	9	112	88	0.135	160.5	70	32.3	51.8	0
"307"	10	80	63	0.105	57.4	22.7	7.4	22.6	0
"308"	10	107	90	0.155	161.5	73.1	29.6	51.9	1
"309"	18	142	108	0.165	391.8	153.3	52.2	156	0
"310"	10	136	106	0.185	221.9	87.8	49	68	1
"311"	8	92	74	0.11	79.3	29.7	17.1	29.1	1
"312"	12	104	82	0.115	161.4	57.1	35.8	47	0
"313"	9	126	106	0.18	255.9	123.6	51.2	63	0
"314"	10	126	105	0.195	262.7	98.7	51.3	93	0
"315"	4	28	21	0.035	2.9	1	0.7	1	1
"316"	9	121	96	0.175	233.7	96.3	46.1	71.2	0
"317"	10	110	84	0.16	268.1	126.5	62.2	68.8	0
"318"	8	92	67	0.11	88.8	45	14.9	22	1
"319"	9	70	52	0.09	39	14.9	8.2	13.1	0
"320"	7	66	52	0.085	39.3	18.3	8.5	11	1
"321"	15	96	74	0.13	117.7	49.5	30.1	31.9	0
"322"	11	130	99	0.175	245.4	105.6	51.6	74	0
"323"	8	100	78	0.125	116.6	58.8	26.4	32.1	1
"324"	8	99	74	0.125	94.3	41.5	18.2	30	1
"325"	11	122	98	0.17	269.5	140.9	50	60.9	0
"326"	17	130	103	0.16	232.5	99	40.6	66	1
"327"	3	31	22	0.04	3.1	1.3	0.6	1	0
"328"	8	103	80	0.125	123	57.3	24.6	35.3	0
"329"	9	107	82	0.13	142.9	67	28.8	41.5	0
"330"	8	86	69	0.115	85.9	42.4	21.6	21.8	1
"331"	5	55	41	0.07	21.1	99	3.8	6.3	1
"332"	6	64	47	0.08	29.7	12.8	6.2	9	1
"333"	11	121	97	0.165	190.3	90.7	38.6	55.3	0
"334"	9	111	91	0.135	167.4	76.4	34.2	47	0
"335"	7	76	57	0.09	46.1	20.1	7.8	15.5	1
"336"	7	64	51	0.1	35.1	14.6	8.3	13	1
"337"	20	110	88	0.16	198.2	69.6	33.6	75	0
"338"	11	112	91	0.155	159.4	68	38	48.5	0
"339"	10	120	94	0.16	238.8	112.5	60.9	52.7	0
"340"	8	92	72	0.125	109.4	43.3	22.1	38	0
"341"	10	108	84	0.14	133.3	62.5	27.6	37.9	1
"342"	9	106	85	0.155	158.1	61.4	34.2	51.9	0
"343"	14	127	102	0.175	242.5	114.7	52.2	72	0
"344"	8	104	82	0.12	119	47.7	22.2	38	1
"345"	4	49	41	0.06	15.3	6.8	2.8	4.3	1
"346"	7	109	84	0.12	157.3	80.6	37	34	0
"347"	9	115	92	0.15	185.4	66.6	41.4	59.7	0
"348"	11	100	75	0.115	118.9	37	29.6	38	0
"349"	6	59	43	0.085	25.6	9.8	6.8	8	1
"350"	5	55	40	0.065	18.4	7.7	4.7	5.4	1
"351"	8	106	76	0.125	123.2	58.4	22.6	37	1
"352"	14	126	101	0.165	252	90.5	55.1	81.2	0
"353"	11	136	103	0.17	322.3	168.3	61.2	79	0
"354"	9	125	96	0.2	264.7	121.5	61.1	71	0
"355"	13	126	103	0.155	251.8	82.1	39.4	82	0
"356"	11	113	98	0.155	184.9	81	43.9	51	0
"357"	13	111	86	0.165	151.5	54.7	32.7	55	0
"358"	9	108	83	0.15	162.3	77.5	37.5	40.7	0
"359"	17	126	96	0.175	273.5	100.3	60.7	103	0
"360"	10	115	87	0.13	202.1	73.6	44.4	64	0
"361"	5	47	26	0.075	31.7	13.7	7.4	9.3	1
"362"	10	125	96	0.18	244.6	113	59.5	67.5	0
"363"	8	105	77	0.13	121.4	47.1	25	39	1
"364"	10	115	87	0.135	198.4	86.4	44.5	47.8	0
"365"	9	93	74	0.115	81.5	30.3	18.7	29.1	1
"366"	13	110	85	0.155	183.5	55.5	48.6	67	0
"367"	7	88	69	0.12	73	33.1	16.6	22	1
"368"	8	60	46	0.08	25.5	8.7	5.3	8	1
"369"	11	88	62	0.115	72.5	26.8	16.4	24	1
"370"	10	115	90	0.15	171.6	89.8	33.2	43	1
"371"	8	91	65	0.135	164	80.1	34.3	42.2	1
"372"	6	94	71	0.12	73.7	25.2	16.7	27.3	1
"373"	12	142	111	0.195	389.7	189.1	75.3	99	0
"374"	6	75	56	0.09	43	16.8	12	11	1
"375"	14	137	108	0.215	340.5	132.8	73.1	94.7	0
"376"	10	117	92	0.145	169.3	67.8	33.4	59	1
"377"	7	92	71	0.11	85.1	40.3	16.2	26	1
"378"	9	101	78	0.12	130.6	66.3	27.7	33.4	0
"379"	13	135	105	0.185	317.4	138.7	67.2	79	0
"380"	10	136	108	0.155	306.8	134.2	75.8	76.8	0
"381"	11	116	85	0.145	166	75.8	32.1	51.5	1
"382"	9	113	89	0.145	185.1	86.9	42.4	49.5	0
"383"	7	75	57	0.08	45.2	19.5	8	14.5	1
"384"	9	117	93	0.165	187.1	80.7	45.5	51.8	0
"385"	9	123	94	0.155	216.8	117.7	41.8	49.2	0
"386"	8	117	90	0.16	180.9	81	44.3	46.7	0
"387"	15	106	83	0.16	156.6	58.7	31.6	49	0
"388"	8	121	96	0.14	198.2	94.7	46.9	48	0
"389"	7	78	63	0.09	61.9	29.4	10	18	1
"390"	19	136	110	0.175	359.6	163	78.5	91	0
"391"	6	106	82	0.14	136.2	61.9	28.3	36.7	0
"392"	7	90	69	0.11	94	47.1	17.1	22.7	1
"393"	6	51	37	0.07	15	5.6	3.6	5	1
"394"	11	113	88	0.155	173.6	69.6	43.4	52	0
"395"	12	114	93	0.18	259	67.8	44.5	88	0
"396"	10	139	110	0.155	369.9	153.4	88.4	83.5	0
"397"	12	90	72	0.16	113.4	34.8	24.9	45	0
"398"	4	51	39	0.055	14.5	5.7	3.4	4.2	1
"399"	13	121	90	0.195	219.6	96.2	57.9	63	0
"400"	10	135	102	0.195	276.4	120.9	63.5	79.3	0
"401"	8	103	86	0.14	166.8	73.4	40	46	0
"402"	10	131	101	0.165	254	120.7	52.4	67	0
"403"	8	95	72	0.12	115.6	56.5	24	34	0
"404"	9	116	92	0.15	203.3	98.2	44.2	53	0
"405"	6	94	70	0.125	86.3	38	23.3	23.5	1
"406"	15	122	99	0.19	242.6	92.8	61.2	73	0
"407"	10	92	68	0.135	99	33.1	23.4	37	0
"408"	9	114	89	0.15	199	100.8	37	50.1	0
"409"	6	84	62	0.095	55.8	25.1	10.2	17.6	1
"410"	8	106	81	0.15	177.8	81.1	45.5	43	0
"411"	8	89	66	0.11	71.6	30.5	13.4	23.7	1
"412"	7	83	67	0.1	71.6	33.8	13.4	21	1
"413"	8	98	75	0.125	108.9	55.8	23	26	1
"414"	15	129	99	0.185	298.7	105.3	55.7	91	0
"415"	16	115	94	0.165	170.6	58.4	35.8	70	0
"416"	6	88	65	0.1	83.3	37	17.3	22	1
"417"	8	90	73	0.115	117.7	63.6	24.2	26.5	0
"418"	9	103	78	0.13	115.1	39.5	26	36.9	0
"419"	10	115	90	0.16	213.6	111.2	42.8	51.5	0
"420"	10	120	95	0.17	217.6	98.1	49.5	62	0
"421"	9	100	76	0.125	115.4	53.8	25.3	30.7	0
"422"	10	109	83	0.16	154.3	54.4	29.1	55.3	0
"423"	11	134	107	0.19	333.8	149.3	58.7	101.6	0
"424"	4	55	39	0.07	17.5	6.9	4.4	5.1	1
"425"	10	124	96	0.17	220.9	107	50	57.4	0
"426"	10	87	68	0.11	81.4	33.7	14.6	26	1
"427"	11	98	75	0.135	122.5	51.1	20.4	44	0
"428"	21	136	110	0.2	319.2	105	81.5	117	0
"429"	9	127	102	0.17	244.7	106.4	54.2	70.8	0
"430"	15	126	101	0.225	305	112	66.7	90	0
"431"	8	116	92	0.18	210.3	81.9	51.9	55.2	0
"432"	9	126	98	0.15	239.1	116.9	51.4	60	0
"433"	7	105	82	0.115	154.9	83.2	32.6	36	0
"434"	19	138	110	0.2	369.3	146.4	94.4	114	0
"435"	10	121	95	0.175	276.4	121.8	46.5	79.7	0
"436"	9	90	67	0.105	85	37.3	18.2	23	0
"437"	9	108	87	0.14	146.9	66	31.9	42.6	0
"438"	11	132	106	0.185	269.2	109.2	54.1	95.2	0
"439"	11	141	112	0.17	291.5	121.4	63.6	88	0
"440"	11	93	76	0.13	90.8	37.9	16	31	1
"441"	10	123	94	0.16	203.5	94.6	47.9	56	0
"442"	14	152	115	0.19	365.8	140.7	77.2	112	0
"443"	12	125	94	0.155	239.1	128.6	41.1	62.9	1
"444"	11	84	68	0.125	89.9	33	22.5	28.8	0
"445"	11	124	98	0.16	207	88	50.5	57	0
"446"	8	122	94	0.16	214.9	98.5	47.2	58	0
"447"	20	140	116	0.205	426	148.3	98	116	0
"448"	10	91	72	0.115	91.4	41.7	17.1	29.4	1
"449"	8	84	65	0.115	62.8	25.9	12.7	20	1
"450"	4	31	21	0.05	3.5	1	0.7	1	1
"451"	7	86	64	0.1	77.1	38.4	14.9	20	1
"452"	9	132	103	0.195	313.1	146.9	70.6	77.2	0
"453"	10	88	68	0.105	80.4	26.1	19.1	33	0
"454"	13	117	84	0.155	196.9	88.4	43.1	57.5	0
"455"	8	115	88	0.145	174	78.9	43.9	45	0
"456"	9	132	107	0.19	318.1	128.5	59.4	103.5	0
"457"	17	104	81	0.14	163.5	55.9	36.6	52	0
"458"	8	88	66	0.115	80.1	28.6	22.6	24	0
"459"	11	134	103	0.17	285.3	132.1	67.9	74	0
"460"	7	102	75	0.11	116.1	57.3	23.6	29.6	0
"461"	6	87	65	0.11	73.4	31.9	16	21	1
